,결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일,연도,월,요일,주차,주중/주말,배송시작일(date),배송완료일(date),배송기간,배송기간(int)
32635,카드,D-20180917-0000843-01,2018-09-19 오전 11:26,2018-09-28 오전 3:32,70620,42.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-19,2018-09-28,9 days,9
32658,카드,D-20180917-0001010-01,2018-09-19 오전 11:26,2018-09-26 오후 9:28,78870,1070.0,1,네이버 페이,2018-09-17,2018,9,Monday,38,주중,2018-09-19,2018-09-26,7 days,7
32714,휴대폰,D-20180918-0000273-01,2018-09-19 오전 11:26,2018-09-29 오전 3:28,113520,447.0,2,네이버 페이,2018-09-18,2018,9,Tuesday,38,주중,2018-09-19,2018-09-29,10 days,10
32777,카드,D-20180918-0000545-01,2018-09-20 오전 11:26,2018-09-30 오전 1:17,22110,217.0,1,네이버 페이,2018-09-18,2018,9,Tuesday,38,주중,2018-09-20,2018-09-30,10 days,10
32778,카드,D-20180918-0000545-02,2018-09-20 오전 11:26,2018-09-30 오전 1:17,61380,215.0,3,네이버 페이,2018-09-18,2018,9,Tuesday,38,주중,2018-09-20,2018-09-30,10 days,10
32779,카드,D-20180918-0000545-03,2018-09-20 오전 11:26,2018-09-30 오전 1:17,293040,1074.0,4,네이버 페이,2018-09-18,2018,9,Tuesday,38,주중,2018-09-20,2018-09-30,10 days,10
32793,카드,D-20180918-0000619-01,2018-09-20 오전 11:26,2018-09-29 오전 3:55,151470,78.0,1,네이버 페이,2018-09-18,2018,9,Tuesday,38,주중,2018-09-20,2018-09-29,9 days,9
32834,무통장입금,D-20180919-0000148-01,2018-09-20 오전 11:26,2018-10-04 오후 11:26,41910,1205.0,1,네이버 페이,2018-09-19,2018,9,Wednesday,38,주중,2018-09-20,2018-10-04,14 days,14
32928,실시간계좌이체,D-20180920-0000199-01,2018-09-27 오후 6:32,2018-10-07 오전 3:31,76400,608.0,1,네이버 페이,2018-09-20,2018,9,Thursday,38,주중,2018-09-27,2018-10-07,10 days,10
32934,휴대폰,D-20180920-0000214-01,2018-09-27 오후 6:32,2018-10-04 오전 11:38,121110,1037.0,1,네이버 페이,2018-09-20,2018,9,Thursday,38,주중,2018-09-27,2018-10-04,7 days,7
32935,휴대폰,D-20180920-0000214-02,2018-09-27 오후 6:32,2018-10-04 오전 11:38,55110,1139.0,1,네이버 페이,2018-09-20,2018,9,Thursday,38,주중,2018-09-27,2018-10-04,7 days,7
32954,카드,D-20180921-0000048-01,2018-09-27 오후 6:32,2018-10-07 오전 4:20,83050,962.0,1,네이버 페이,2018-09-21,2018,9,Friday,38,주중,2018-09-27,2018-10-07,10 days,10
32972,무통장입금,D-20180921-0000138-01,2018-09-27 오후 6:32,2018-10-25 오전 12:56,123420,70.0,1,네이버 페이,2018-09-21,2018,9,Friday,38,주중,2018-09-27,2018-10-25,28 days,28
32973,무통장입금,D-20180921-0000138-02,2018-09-27 오후 6:32,2018-10-25 오전 12:56,115170,68.0,1,네이버 페이,2018-09-21,2018,9,Friday,38,주중,2018-09-27,2018-10-25,28 days,28
33026,카드,D-20180926-0000139-01,2018-09-27 오후 6:32,2018-10-08 오전 6:37,103620,48.0,1,네이버 페이,2018-09-26,2018,9,Wednesday,39,주중,2018-09-27,2018-10-08,11 days,11
33032,카드,D-20180926-0000191-01,2018-09-27 오후 6:32,2018-10-04 오후 6:30,71450,1077.0,1,네이버 페이,2018-09-26,2018,9,Wednesday,39,주중,2018-09-27,2018-10-04,7 days,7
33039,카드,D-20180926-0000256-01,2018-09-27 오후 6:32,2018-10-06 오후 7:08,124250,90.0,1,네이버 페이,2018-09-26,2018,9,Wednesday,39,주중,2018-09-27,2018-10-06,9 days,9
33049,카드,D-20180927-0000057-01,2018-09-27 오후 6:32,2018-10-07 오후 12:14,261250,482.0,5,네이버 페이,2018-09-27,2018,9,Thursday,39,주중,2018-09-27,2018-10-07,10 days,10
33107,카드,D-20180927-0000372-01,2018-09-28 오전 9:24,2018-10-07 오후 12:42,51810,142.0,1,네이버 페이,2018-09-27,2018,9,Thursday,39,주중,2018-09-28,2018-10-07,9 days,9
33108,카드,D-20180927-0000386-01,2018-09-27 오후 6:32,2018-10-07 오후 12:42,78870,603.0,1,네이버 페이,2018-09-27,2018,9,Thursday,39,주중,2018-09-27,2018-10-07,10 days,10
33143,카드,D-20180927-0000602-01,2018-09-28 오후 9:28,2018-10-08 오전 8:20,68970,1091.0,1,네이버 페이,2018-09-27,2018,9,Thursday,39,주중,2018-09-28,2018-10-08,10 days,10
33149,카드,D-20180927-0000648-01,2018-09-28 오전 11:16,2018-10-10 오전 1:54,56760,447.0,1,네이버 페이,2018-09-27,2018,9,Thursday,39,주중,2018-09-28,2018-10-10,12 days,12
33152,카드,D-20180927-0000667-01,2018-09-28 오전 11:16,2018-10-07 오후 1:15,217140,1121.0,2,네이버 페이,2018-09-27,2018,9,Thursday,39,주중,2018-09-28,2018-10-07,9 days,9
33160,무통장입금,D-20180927-0000712-01,2018-09-28 오전 11:16,2018-10-07 오전 2:53,58410,455.0,1,네이버 페이,2018-09-27,2018,9,Thursday,39,주중,2018-09-28,2018-10-07,9 days,9
33217,카드,D-20180928-0000258-01,2018-09-28 오후 9:28,2018-10-07 오후 3:22,132500,92.0,1,네이버 페이,2018-09-28,2018,9,Friday,39,주중,2018-09-28,2018-10-07,9 days,9
33264,실시간계좌이체,D-20180928-0000573-01,2018-10-02 오전 8:54,2018-10-10 오전 2:44,93720,1123.0,1,네이버 페이,2018-09-28,2018,9,Friday,39,주중,2018-10-02,2018-10-10,8 days,8
33323,실시간계좌이체,D-20180930-0000213-01,2018-10-02 오전 8:54,2018-10-10 오전 6:22,140750,94.0,1,네이버 페이,2018-09-30,2018,9,Sunday,39,주말,2018-10-02,2018-10-10,8 days,8
33454,카드,D-20181001-0000415-01,2018-10-02 오후 1:04,2018-10-10 오전 8:24,83050,959.0,1,네이버 페이,2018-10-01,2018,10,Monday,40,주중,2018-10-02,2018-10-10,8 days,8
33468,무통장입금,D-20181001-0000492-01,2018-10-02 오후 6:32,2018-10-10 오전 9:46,86790,451.0,1,네이버 페이,2018-10-01,2018,10,Monday,40,주중,2018-10-02,2018-10-10,8 days,8
