,결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일,연도,월,요일,주차,주중/주말,배송시작일(date),배송완료일(date),배송기간,배송기간(int)
11825,실시간계좌이체,D-20190413-0000092-02,2019-04-15 오후 6:42,2019-04-24 오전 4:17,60900,1374.0,1,네이버 페이,2019-04-13,2019,4,Saturday,15,주말,2019-04-15,2019-04-24,9 days,9
11834,카드,D-20190413-0000157-01,2019-04-15 오후 6:42,2019-04-25 오전 2:09,98600,605.0,1,네이버 페이,2019-04-13,2019,4,Saturday,15,주말,2019-04-15,2019-04-25,10 days,10
11839,휴대폰,D-20190413-0000193-01,2019-04-15 오후 6:42,2019-04-23 오후 8:16,74920,1234.0,1,네이버 페이,2019-04-13,2019,4,Saturday,15,주말,2019-04-15,2019-04-23,8 days,8
11879,카드,D-20190414-0000173-01,2019-04-15 오후 6:42,2019-04-24 오전 7:08,98560,1301.0,1,네이버 페이,2019-04-14,2019,4,Sunday,15,주말,2019-04-15,2019-04-24,9 days,9
11886,무통장입금,D-20190414-0000221-01,2019-04-15 오후 6:42,2019-04-24 오전 7:12,121800,1374.0,2,네이버 페이,2019-04-14,2019,4,Sunday,15,주말,2019-04-15,2019-04-24,9 days,9
11887,무통장입금,D-20190414-0000221-02,2019-04-15 오후 6:42,2019-04-24 오전 7:12,104800,1373.0,2,네이버 페이,2019-04-14,2019,4,Sunday,15,주말,2019-04-15,2019-04-24,9 days,9
11919,실시간계좌이체,D-20190415-0000016-01,2019-04-15 오후 6:42,2019-04-24 오전 9:11,74600,451.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
11920,카드,D-20190415-0000027-01,2019-04-15 오후 6:42,2019-04-24 오전 9:11,65640,379.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
11921,카드,D-20190415-0000031-01,2019-04-15 오후 6:42,2019-04-24 오전 9:11,94470,1121.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
11922,카드,D-20190415-0000046-01,2019-04-15 오후 6:42,2019-05-08 오후 8:42,39300,1445.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-05-08,23 days,23
11939,실시간계좌이체,D-20190415-0000194-01,2019-04-15 오후 6:42,2019-04-24 오전 9:30,68970,1085.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
11976,카드,D-20190415-0000433-01,2019-04-15 오후 6:42,2019-04-24 오전 9:52,61470,1070.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
11996,카드,D-20190415-0000627-01,2019-04-15 오후 6:42,2019-04-24 오전 10:14,63620,43.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
11997,카드,D-20190415-0000627-02,2019-04-16 오후 6:26,2019-04-25 오전 4:25,64070,1071.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-16,2019-04-25,9 days,9
12034,카드,D-20190415-0000904-01,2019-04-15 오후 6:42,2019-04-24 오전 10:30,153420,1106.0,2,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
12035,카드,D-20190415-0000904-04,2019-04-15 오후 6:42,2019-04-24 오전 10:30,121800,1374.0,2,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
12036,카드,D-20190415-0000904-05,2019-04-15 오후 6:42,2019-04-24 오전 10:30,104800,1373.0,2,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
12045,카드,D-20190415-0000973-01,2019-04-15 오후 6:42,2019-04-24 오전 10:38,74200,106.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-15,2019-04-24,9 days,9
12058,무통장입금,D-20190415-0001081-01,2019-04-16 오후 6:26,2019-04-25 오전 4:43,98600,605.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-16,2019-04-25,9 days,9
12066,무통장입금,D-20190415-0001119-01,2019-04-18 오전 9:44,2019-04-26 오전 2:09,79620,1230.0,1,네이버 페이,2019-04-15,2019,4,Monday,16,주중,2019-04-18,2019-04-26,8 days,8
12127,실시간계좌이체,D-20190416-0000125-01,2019-04-16 오후 6:26,2019-04-25 오전 7:55,61900,608.0,1,네이버 페이,2019-04-16,2019,4,Tuesday,16,주중,2019-04-16,2019-04-25,9 days,9
12161,실시간계좌이체,D-20190416-0000376-01,2019-04-16 오후 6:26,2019-04-26 오전 3:09,61470,1070.0,1,네이버 페이,2019-04-16,2019,4,Tuesday,16,주중,2019-04-16,2019-04-26,10 days,10
12162,실시간계좌이체,D-20190416-0000389-01,2019-04-16 오후 6:26,2019-04-26 오전 3:09,67650,1316.0,1,네이버 페이,2019-04-16,2019,4,Tuesday,16,주중,2019-04-16,2019-04-26,10 days,10
12163,실시간계좌이체,D-20190416-0000391-01,2019-04-16 오후 6:26,2019-04-26 오전 3:09,55870,1091.0,1,네이버 페이,2019-04-16,2019,4,Tuesday,16,주중,2019-04-16,2019-04-26,10 days,10
12197,무통장입금,D-20190416-0000710-01,2019-04-16 오후 6:26,2019-04-25 오전 8:39,32220,1297.0,1,네이버 페이,2019-04-16,2019,4,Tuesday,16,주중,2019-04-16,2019-04-25,9 days,9
12216,무통장입금,D-20190416-0000804-01,2019-04-16 오후 6:26,2019-04-25 오전 8:48,49700,455.0,1,네이버 페이,2019-04-16,2019,4,Tuesday,16,주중,2019-04-16,2019-04-25,9 days,9
12232,실시간계좌이체,D-20190416-0001011-01,2019-04-18 오전 9:44,2019-04-26 오전 4:09,23120,1202.0,2,네이버 페이,2019-04-16,2019,4,Tuesday,16,주중,2019-04-18,2019-04-26,8 days,8
12259,카드,D-20190417-0000029-01,2019-04-18 오전 9:44,2019-04-25 오후 12:10,26700,1516.0,1,네이버 페이,2019-04-17,2019,4,Wednesday,16,주중,2019-04-18,2019-04-25,7 days,7
12326,카드,D-20190417-0000606-01,2019-04-18 오전 9:44,2019-04-26 오전 7:40,42510,248.0,1,네이버 페이,2019-04-17,2019,4,Wednesday,16,주중,2019-04-18,2019-04-26,8 days,8
12363,카드,D-20190417-0000861-05,2019-04-18 오후 6:52,2019-04-27 오전 3:33,68970,1085.0,1,네이버 페이,2019-04-17,2019,4,Wednesday,16,주중,2019-04-18,2019-04-27,9 days,9
12364,카드,D-20190417-0000861-06,2019-04-18 오후 6:52,2019-04-27 오전 3:33,64070,1071.0,1,네이버 페이,2019-04-17,2019,4,Wednesday,16,주중,2019-04-18,2019-04-27,9 days,9
12365,카드,D-20190417-0000861-03,2019-04-19 오후 6:32,2019-04-28 오전 1:49,79620,1230.0,1,네이버 페이,2019-04-17,2019,4,Wednesday,16,주중,2019-04-19,2019-04-28,9 days,9
12366,카드,D-20190417-0000861-07,2019-04-18 오후 6:52,2019-04-27 오전 3:33,88480,1359.0,1,네이버 페이,2019-04-17,2019,4,Wednesday,16,주중,2019-04-18,2019-04-27,9 days,9
12388,카드,D-20190417-0001035-01,2019-04-18 오후 6:52,2019-04-27 오전 4:29,99350,90.0,1,네이버 페이,2019-04-17,2019,4,Wednesday,16,주중,2019-04-18,2019-04-27,9 days,9
12432,카드,D-20190418-0000331-01,2019-04-18 오후 6:52,2019-04-27 오전 7:08,55870,1091.0,1,네이버 페이,2019-04-18,2019,4,Thursday,16,주중,2019-04-18,2019-04-27,9 days,9
12569,카드,D-20190419-0000703-01,2019-04-22 오후 6:40,2019-05-01 오전 2:42,61900,608.0,1,네이버 페이,2019-04-19,2019,4,Friday,16,주중,2019-04-22,2019-05-01,9 days,9
12604,카드,D-20190420-0000208-01,2019-04-22 오후 6:40,2019-05-01 오전 5:47,151640,176.0,2,네이버 페이,2019-04-20,2019,4,Saturday,16,주말,2019-04-22,2019-05-01,9 days,9
12608,카드,D-20190420-0000234-01,2019-04-22 오후 6:40,2019-05-01 오전 6:04,103300,92.0,1,네이버 페이,2019-04-20,2019,4,Saturday,16,주말,2019-04-22,2019-05-01,9 days,9
12614,카드,D-20190421-0000011-01,2019-04-22 오후 6:40,2019-05-02 오전 2:47,63070,603.0,1,네이버 페이,2019-04-21,2019,4,Sunday,16,주말,2019-04-22,2019-05-02,10 days,10
12835,카드,D-20190423-0000014-01,2019-04-23 오후 6:54,2019-05-02 오전 7:02,48500,172.0,1,네이버 페이,2019-04-23,2019,4,Tuesday,17,주중,2019-04-23,2019-05-02,9 days,9
12900,카드,D-20190423-0000504-01,2019-04-23 오후 6:54,2019-05-02 오전 8:38,151640,184.0,2,네이버 페이,2019-04-23,2019,4,Tuesday,17,주중,2019-04-23,2019-05-02,9 days,9
12967,무통장입금,D-20190423-0000904-01,2019-04-25 오전 9:38,2019-05-03 오전 4:11,60720,1539.0,1,네이버 페이,2019-04-23,2019,4,Tuesday,17,주중,2019-04-25,2019-05-03,8 days,8
12975,카드,D-20190423-0000985-01,2019-04-25 오전 9:38,2019-05-03 오전 4:26,18380,1269.0,2,네이버 페이,2019-04-23,2019,4,Tuesday,17,주중,2019-04-25,2019-05-03,8 days,8
13014,카드,D-20190424-0000059-01,2019-04-25 오전 9:38,2019-05-03 오전 7:19,59670,437.0,1,네이버 페이,2019-04-24,2019,4,Wednesday,17,주중,2019-04-25,2019-05-03,8 days,8
13022,카드,D-20190424-0000105-01,2019-04-25 오전 9:38,2019-05-03 오전 7:30,243600,1374.0,4,네이버 페이,2019-04-24,2019,4,Wednesday,17,주중,2019-04-25,2019-05-03,8 days,8
13023,카드,D-20190424-0000105-02,2019-04-25 오전 9:38,2019-05-03 오전 7:30,209600,1373.0,4,네이버 페이,2019-04-24,2019,4,Wednesday,17,주중,2019-04-25,2019-05-03,8 days,8
13064,카드,D-20190424-0000348-01,2019-04-25 오전 9:38,2019-05-03 오전 8:06,118250,94.0,1,네이버 페이,2019-04-24,2019,4,Wednesday,17,주중,2019-04-25,2019-05-03,8 days,8
13131,카드,D-20190424-0000804-01,2019-04-25 오후 6:32,2019-05-19 오전 10:48,32000,1449.0,1,네이버 페이,2019-04-24,2019,4,Wednesday,17,주중,2019-04-25,2019-05-19,24 days,24
13132,카드,D-20190424-0000814-01,2019-04-25 오후 6:32,2019-05-04 오전 3:51,61900,608.0,1,네이버 페이,2019-04-24,2019,4,Wednesday,17,주중,2019-04-25,2019-05-04,9 days,9
13145,카드,D-20190424-0000891-01,2019-04-25 오후 6:32,2019-05-04 오전 4:27,118250,94.0,1,네이버 페이,2019-04-24,2019,4,Wednesday,17,주중,2019-04-25,2019-05-04,9 days,9
13252,카드,D-20190425-0000617-01,2019-04-25 오후 6:32,2019-05-23 오전 1:02,170640,50.0,2,네이버 페이,2019-04-25,2019,4,Thursday,17,주중,2019-04-25,2019-05-23,28 days,28
13259,카드,D-20190425-0000661-01,2019-04-25 오후 6:32,2019-05-04 오전 7:27,63620,43.0,1,네이버 페이,2019-04-25,2019,4,Thursday,17,주중,2019-04-25,2019-05-04,9 days,9
13337,카드,D-20190426-0000101-01,2019-04-29 오전 9:02,2019-05-07 오전 1:44,48500,447.0,1,네이버 페이,2019-04-26,2019,4,Friday,17,주중,2019-04-29,2019-05-07,8 days,8
13354,실시간계좌이체,D-20190426-0000315-01,2019-04-29 오전 9:02,2019-05-07 오전 1:48,68970,1085.0,1,네이버 페이,2019-04-26,2019,4,Friday,17,주중,2019-04-29,2019-05-07,8 days,8
13428,카드,D-20190426-0000884-01,2019-04-29 오후 6:34,2019-05-09 오전 2:17,99400,455.0,2,네이버 페이,2019-04-26,2019,4,Friday,17,주중,2019-04-29,2019-05-09,10 days,10
13430,실시간계좌이체,D-20190427-0000050-01,2019-04-29 오후 6:34,2019-05-08 오전 4:35,91620,88.0,1,네이버 페이,2019-04-27,2019,4,Saturday,17,주말,2019-04-29,2019-05-08,9 days,9
13451,카드,D-20190427-0000233-01,2019-04-29 오후 6:34,2019-05-07 오후 8:32,74990,1375.0,1,네이버 페이,2019-04-27,2019,4,Saturday,17,주말,2019-04-29,2019-05-07,8 days,8
13462,카드,D-20190428-0000083-01,2019-04-29 오후 6:34,2019-05-09 오전 3:36,54550,1341.0,1,네이버 페이,2019-04-28,2019,4,Sunday,17,주말,2019-04-29,2019-05-09,10 days,10
13465,카드,D-20190428-0000116-01,2019-04-29 오후 6:36,2019-05-08 오전 8:04,63070,602.0,1,네이버 페이,2019-04-28,2019,4,Sunday,17,주말,2019-04-29,2019-05-08,9 days,9
13490,카드,D-20190428-0000360-01,2019-04-29 오후 6:36,2019-05-09 오전 4:07,61470,44.0,1,네이버 페이,2019-04-28,2019,4,Sunday,17,주말,2019-04-29,2019-05-09,10 days,10
13558,실시간계좌이체,D-20190429-0000494-01,2019-04-29 오후 6:36,2019-05-08 오후 12:55,74600,451.0,1,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-29,2019-05-08,9 days,9
13584,카드,D-20190429-0000664-01,2019-04-29 오후 6:36,2019-05-06 오후 11:02,103300,92.0,1,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-29,2019-05-06,7 days,7
13605,카드,D-20190429-0000775-03,2019-04-29 오후 6:36,2019-05-09 오전 7:49,69400,480.0,1,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-29,2019-05-09,10 days,10
13606,카드,D-20190429-0000775-02,2019-04-29 오후 6:44,2019-05-09 오전 7:49,86020,1169.0,1,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-29,2019-05-09,10 days,10
13615,카드,D-20190429-0000829-01,2019-04-29 오후 6:36,2019-05-08 오후 1:43,243600,1374.0,4,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-29,2019-05-08,9 days,9
13616,카드,D-20190429-0000829-02,2019-04-29 오후 6:36,2019-05-09 오전 7:52,209600,1373.0,4,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-29,2019-05-09,10 days,10
13636,무통장입금,D-20190429-0000961-01,2019-05-03 오전 11:20,2019-05-11 오전 1:40,207440,70.0,2,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-05-03,2019-05-11,8 days,8
13637,무통장입금,D-20190429-0000961-02,2019-04-30 오후 6:34,2019-05-09 오전 7:30,79620,1230.0,1,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-30,2019-05-09,9 days,9
13665,카드,D-20190429-0001192-01,2019-04-30 오후 6:34,2019-05-09 오전 4:57,61900,608.0,1,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-30,2019-05-09,9 days,9
13696,카드,D-20190429-0001503-01,2019-04-30 오후 6:34,2019-05-08 오후 2:30,78270,1540.0,1,네이버 페이,2019-04-29,2019,4,Monday,18,주중,2019-04-30,2019-05-08,8 days,8
13774,카드,D-20190430-0000436-05,2019-04-30 오후 6:34,2019-05-09 오전 9:13,32220,1297.0,1,네이버 페이,2019-04-30,2019,4,Tuesday,18,주중,2019-04-30,2019-05-09,9 days,9
13775,카드,D-20190430-0000436-06,2019-04-30 오후 6:34,2019-05-09 오전 9:13,35210,1205.0,1,네이버 페이,2019-04-30,2019,4,Tuesday,18,주중,2019-04-30,2019-05-09,9 days,9
13776,카드,D-20190430-0000436-07,2019-04-30 오후 6:34,2019-05-09 오전 9:13,74620,479.0,1,네이버 페이,2019-04-30,2019,4,Tuesday,18,주중,2019-04-30,2019-05-09,9 days,9
13777,카드,D-20190430-0000436-04,2019-04-30 오후 6:34,2019-05-21 오전 11:48,97000,172.0,2,네이버 페이,2019-04-30,2019,4,Tuesday,18,주중,2019-04-30,2019-05-21,21 days,21
13970,카드,D-20190501-0000146-01,2019-05-03 오전 11:20,2019-05-11 오전 3:58,170640,50.0,2,네이버 페이,2019-05-01,2019,5,Wednesday,18,주중,2019-05-03,2019-05-11,8 days,8
14013,카드,D-20190501-0000488-01,2019-05-03 오전 11:20,2019-05-11 오전 4:53,60900,1374.0,1,네이버 페이,2019-05-01,2019,5,Wednesday,18,주중,2019-05-03,2019-05-11,8 days,8
14014,카드,D-20190501-0000492-01,2019-05-03 오전 11:20,2019-05-11 오전 4:53,52400,1373.0,1,네이버 페이,2019-05-01,2019,5,Wednesday,18,주중,2019-05-03,2019-05-11,8 days,8
14166,무통장입금,D-20190502-0000727-01,2019-05-03 오전 11:20,2019-05-11 오전 2:18,110570,41.0,1,네이버 페이,2019-05-02,2019,5,Thursday,18,주중,2019-05-03,2019-05-11,8 days,8
14230,카드,D-20190502-0001141-01,2019-05-03 오전 11:20,2019-05-11 오전 9:20,249330,1055.0,3,네이버 페이,2019-05-02,2019,5,Thursday,18,주중,2019-05-03,2019-05-11,8 days,8
16408,카드,D-20190522-0000101-00,2019-05-23 오전 8:50,2019-05-31 오전 6:57,119340,437.0,2,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-23,2019-05-31,8 days,8
16473,카드,D-20190522-0000532-00,2019-05-23 오전 8:50,2019-05-31 오전 7:44,18300,215.0,1,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-23,2019-05-31,8 days,8
16474,카드,D-20190522-0000532-00,2019-05-23 오전 8:50,2019-05-31 오전 7:44,58000,396.0,1,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-23,2019-05-31,8 days,8
16512,카드,D-20190522-0000825-00,2019-05-24 오전 10:18,2019-06-03 오전 12:49,99400,455.0,2,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-24,2019-06-03,10 days,10
16513,카드,D-20190522-0000836-00,2019-05-24 오후 6:30,2019-06-01 오전 3:36,97000,172.0,2,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-24,2019-06-01,8 days,8
16514,카드,D-20190522-0000844-00,2019-05-24 오전 10:18,2019-06-01 오전 3:36,64070,45.0,1,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-24,2019-06-01,8 days,8
16523,카드,D-20190522-0000890-00,2019-05-24 오전 10:18,2019-06-01 오전 3:38,59670,437.0,1,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-24,2019-06-01,8 days,8
16556,카드,D-20190522-0001114-00,2019-05-24 오전 10:18,2019-06-01 오전 4:31,102680,1224.0,1,네이버 페이,2019-05-22,2019,5,Wednesday,21,주중,2019-05-24,2019-06-01,8 days,8
16565,카드,D-20190523-0000012-00,2019-05-24 오전 10:18,2019-06-01 오전 6:06,48500,172.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-01,8 days,8
16599,무통장입금,D-20190523-0000240-00,2019-05-24 오전 10:18,2019-06-02 오전 2:26,54550,1341.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-02,9 days,9
16653,카드,D-20190523-0000658-00,2019-05-24 오후 6:30,2019-06-02 오전 2:58,91620,88.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-02,9 days,9
16654,카드,D-20190523-0000658-00,2019-05-24 오후 6:30,2019-06-02 오전 2:58,99350,90.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-02,9 days,9
16655,카드,D-20190523-0000666-00,2019-05-24 오후 6:30,2019-06-02 오전 3:00,35000,1205.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-02,9 days,9
16672,카드,D-20190523-0000847-00,2019-05-24 오후 6:30,2019-06-02 오전 3:23,86020,1169.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-02,9 days,9
16679,카드,D-20190523-0000903-00,2019-05-24 오후 6:30,2019-06-02 오전 3:56,21500,217.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-02,9 days,9
16680,카드,D-20190523-0000903-00,2019-05-24 오후 6:30,2019-06-02 오전 3:56,41000,392.0,1,네이버 페이,2019-05-23,2019,5,Thursday,21,주중,2019-05-24,2019-06-02,9 days,9
16761,실시간계좌이체,D-20190524-0000453-00,2019-05-24 오후 6:30,2019-06-02 오전 5:08,21500,217.0,1,네이버 페이,2019-05-24,2019,5,Friday,21,주중,2019-05-24,2019-06-02,9 days,9
16762,실시간계좌이체,D-20190524-0000453-00,2019-05-24 오후 6:30,2019-06-02 오전 5:08,59000,1074.0,1,네이버 페이,2019-05-24,2019,5,Friday,21,주중,2019-05-24,2019-06-02,9 days,9
16766,카드,D-20190524-0000502-00,2019-05-24 오후 6:30,2019-06-02 오전 5:12,121800,1374.0,2,네이버 페이,2019-05-24,2019,5,Friday,21,주중,2019-05-24,2019-06-02,9 days,9
16767,카드,D-20190524-0000502-00,2019-05-24 오후 6:30,2019-06-02 오전 5:12,104800,1373.0,2,네이버 페이,2019-05-24,2019,5,Friday,21,주중,2019-05-24,2019-06-02,9 days,9
16779,카드,D-20190524-0000617-00,2019-05-28 오전 10:10,2019-06-05 오전 3:08,57850,1077.0,1,네이버 페이,2019-05-24,2019,5,Friday,21,주중,2019-05-28,2019-06-05,8 days,8
16780,카드,D-20190524-0000629-00,2019-05-28 오전 10:10,2019-06-05 오전 3:18,60900,1374.0,1,네이버 페이,2019-05-24,2019,5,Friday,21,주중,2019-05-28,2019-06-05,8 days,8
16859,무통장입금,D-20190527-0000091-01,2019-05-28 오전 10:10,2019-06-05 오전 12:56,78970,478.0,1,네이버 페이,2019-05-27,2019,5,Monday,22,주중,2019-05-28,2019-06-05,8 days,8
16860,무통장입금,D-20190527-0000091-00,2019-05-28 오전 10:10,2019-06-05 오전 12:56,69400,480.0,1,네이버 페이,2019-05-27,2019,5,Monday,22,주중,2019-05-28,2019-06-05,8 days,8
16911,카드,D-20190527-0000425-00,2019-05-28 오전 10:10,2019-06-05 오전 11:47,118250,94.0,1,네이버 페이,2019-05-27,2019,5,Monday,22,주중,2019-05-28,2019-06-05,8 days,8
16920,실시간계좌이체,D-20190527-0000483-00,2019-05-28 오전 10:10,2019-06-05 오전 11:56,68970,1085.0,1,네이버 페이,2019-05-27,2019,5,Monday,22,주중,2019-05-28,2019-06-05,8 days,8
16959,카드,D-20190527-0000713-00,2019-05-28 오전 10:10,2019-06-06 오전 5:13,60020,1275.0,1,네이버 페이,2019-05-27,2019,5,Monday,22,주중,2019-05-28,2019-06-06,9 days,9
17097,카드,D-20190528-0000323-00,2019-05-29 오전 11:32,2019-06-06 오전 9:10,31900,1327.0,1,네이버 페이,2019-05-28,2019,5,Tuesday,22,주중,2019-05-29,2019-06-06,8 days,8
17136,카드,D-20190528-0000656-00,2019-05-29 오전 11:32,2019-06-06 오전 9:41,86020,1169.0,1,네이버 페이,2019-05-28,2019,5,Tuesday,22,주중,2019-05-29,2019-06-06,8 days,8
17209,카드,D-20190528-0001201-00,2019-05-30 오전 10:20,2019-06-07 오전 5:43,98560,1301.0,1,네이버 페이,2019-05-28,2019,5,Tuesday,22,주중,2019-05-30,2019-06-07,8 days,8
17246,카드,D-20190529-0000316-00,2019-05-30 오전 10:20,2019-06-07 오전 7:30,133220,1122.0,1,네이버 페이,2019-05-29,2019,5,Wednesday,22,주중,2019-05-30,2019-06-07,8 days,8
17293,카드,D-20190529-0000702-00,2019-05-30 오후 6:42,2019-06-08 오전 3:22,18300,215.0,1,네이버 페이,2019-05-29,2019,5,Wednesday,22,주중,2019-05-30,2019-06-08,9 days,9
17294,카드,D-20190529-0000702-00,2019-05-30 오후 6:42,2019-06-08 오전 3:22,49000,388.0,1,네이버 페이,2019-05-29,2019,5,Wednesday,22,주중,2019-05-30,2019-06-08,9 days,9
17314,카드,D-20190529-0000823-00,2019-05-30 오후 6:42,2019-06-06 오후 3:02,182700,1374.0,3,네이버 페이,2019-05-29,2019,5,Wednesday,22,주중,2019-05-30,2019-06-06,7 days,7
17315,카드,D-20190529-0000823-00,2019-05-30 오후 6:42,2019-06-06 오후 3:02,104800,1373.0,2,네이버 페이,2019-05-29,2019,5,Wednesday,22,주중,2019-05-30,2019-06-06,7 days,7
17415,카드,D-20190530-0000507-00,2019-05-31 오후 6:12,2019-06-07 오전 1:07,51700,395.0,1,네이버 페이,2019-05-30,2019,5,Thursday,22,주중,2019-05-31,2019-06-07,7 days,7
17464,무통장입금,D-20190531-0000025-00,2019-05-31 오후 6:12,2019-06-09 오전 5:27,18300,215.0,1,네이버 페이,2019-05-31,2019,5,Friday,22,주중,2019-05-31,2019-06-09,9 days,9
17465,무통장입금,D-20190531-0000025-00,2019-05-31 오후 6:12,2019-06-09 오전 5:27,98000,388.0,2,네이버 페이,2019-05-31,2019,5,Friday,22,주중,2019-05-31,2019-06-09,9 days,9
17469,카드,D-20190531-0000054-00,2019-05-31 오후 6:12,2019-06-09 오전 5:56,64070,1071.0,1,네이버 페이,2019-05-31,2019,5,Friday,22,주중,2019-05-31,2019-06-09,9 days,9
17470,카드,D-20190531-0000054-01,2019-05-31 오후 6:12,2019-06-09 오전 5:56,79620,1230.0,1,네이버 페이,2019-05-31,2019,5,Friday,22,주중,2019-05-31,2019-06-09,9 days,9
17471,적립금,D-20190531-0000066-00,2019-05-31 오후 6:12,2019-06-09 오전 5:57,35000,1205.0,1,네이버 페이,2019-05-31,2019,5,Friday,22,주중,2019-05-31,2019-06-09,9 days,9
17472,적립금,D-20190531-0000066-00,2019-05-31 오후 6:12,2019-06-09 오전 5:57,32220,1297.0,1,네이버 페이,2019-05-31,2019,5,Friday,22,주중,2019-05-31,2019-06-09,9 days,9
17541,카드,D-20190601-0000129-00,2019-06-03 오후 6:10,2019-06-12 오전 4:42,98600,605.0,1,네이버 페이,2019-06-01,2019,6,Saturday,22,주말,2019-06-03,2019-06-12,9 days,9
17577,카드,D-20180102-0000131-01,2018-01-03 오후 6:17,2018-01-14 오전 1:52,96850,90.0,1,네이버 페이,2018-01-02,2018,1,Tuesday,1,주중,2018-01-03,2018-01-14,11 days,11
17581,카드,D-20180102-0000173-01,2018-01-03 오후 6:17,2018-01-13 오전 12:34,118850,94.0,1,네이버 페이,2018-01-02,2018,1,Tuesday,1,주중,2018-01-03,2018-01-13,10 days,10
17676,카드,D-20180105-0000199-01,2018-01-09 오후 2:06,2018-01-18 오전 1:37,73460,184.0,1,네이버 페이,2018-01-05,2018,1,Friday,1,주중,2018-01-09,2018-01-18,9 days,9
17683,무통장입금,D-20180106-0000061-01,2018-01-09 오후 2:08,2018-01-17 오전 3:30,58960,38.0,1,네이버 페이,2018-01-06,2018,1,Saturday,1,주말,2018-01-09,2018-01-17,8 days,8
17689,카드,D-20180107-0000018-01,2018-01-09 오후 2:04,2018-01-16 오후 12:24,53900,447.0,1,네이버 페이,2018-01-07,2018,1,Sunday,1,주말,2018-01-09,2018-01-16,7 days,7
17697,카드,D-20180107-0000071-01,2018-01-09 오후 2:04,2018-01-18 오전 4:34,18450,561.0,1,네이버 페이,2018-01-07,2018,1,Sunday,1,주말,2018-01-09,2018-01-18,9 days,9
17755,실시간계좌이체,D-20180109-0000146-01,2018-01-11 오후 7:06,2018-01-20 오전 1:52,73460,184.0,1,네이버 페이,2018-01-09,2018,1,Tuesday,2,주중,2018-01-11,2018-01-20,9 days,9
17895,카드,D-20180115-0000145-01,2018-01-15 오후 5:46,2018-01-25 오전 6:04,53900,447.0,1,네이버 페이,2018-01-15,2018,1,Monday,3,주중,2018-01-15,2018-01-25,10 days,10
17941,카드,D-20180116-0000349-01,2018-01-17 오후 7:00,2018-01-27 오전 1:58,82500,379.0,1,네이버 페이,2018-01-16,2018,1,Tuesday,3,주중,2018-01-17,2018-01-27,10 days,10
