Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
1449,66749379,렌탈,프로모션계약,홈쇼핑/방송,2019-07-29,60,카드이체,DES-1,105900, 개인,51,경상도,부산광역시,계약확정,0,없음,여자,1,롯데카드
1450,66759559,렌탈,일반계약,영업방판,2019-09-09,60,CMS,DES-1,87900, 개인,43,경상도,부산광역시,계약확정,0,없음,여자,2,국민은행
1451,66759387,렌탈,프로모션계약,영업방판,2019-09-28,60,CMS,DES-3A,90900, 개인,36,경상도,부산광역시,계약확정,0,없음,여자,6,기업은행
1452,66758822,렌탈,일반계약,영업방판,2019-12-17,60,CMS,DES-R4,126900, 개인,46,충청도,충청도,계약확정,0,없음,남자,,국민은행
1453,66423156,멤버십,멤버십3유형,재계약,2019-01-03,12,CMS,DES-1,66900, 개인,53,경기도,경기도,계약확정,0,없음,여자,2,농협회원조합
1454,66759194,렌탈,패키지계약,홈쇼핑/방송,2019-02-18,60,CMS,DES-1,81900, 개인,54,경기도,경기도,계약확정,0,없음,남자,8,농협회원조합
1455,66759194,렌탈,패키지계약,홈쇼핑/방송,2019-06-19,60,CMS,DES-2,81900, 개인,54,경기도,경기도,계약확정,0,없음,남자,8,농협회원조합
1456,66758975,렌탈,패키지계약,영업방판,2019-09-15,60,CMS,DES-1,98400, 개인,52,경기도,경기도,계약확정,0,없음,여자,2,국민은행
1457,66758975,렌탈,패키지계약,영업방판,2019-11-24,60,CMS,DES-2,89400, 개인,52,경기도,경기도,계약확정,0,없음,여자,2,국민은행
1458,66319922,렌탈,패키지계약,영업방판,2020-03-02,60,CMS,DES-1,89400, 개인,43,경기도,경기도,계약확정,0,없음,여자,7,국민은행
1459,66319922,렌탈,패키지계약,영업방판,2020-05-13,60,CMS,DES-2,89400, 개인,43,경기도,경기도,계약확정,0,없음,여자,7,국민은행
1460,66759113,렌탈,패키지계약,홈쇼핑/방송,2020-06-28,60,카드이체,DES-1,81900, 개인,61,경기도,경기도,계약확정,0,없음,여자,1,BC카드
1461,66759113,렌탈,패키지계약,홈쇼핑/방송,2019-01-03,60,카드이체,DES-2,81900, 개인,61,경기도,경기도,계약확정,0,없음,여자,1,BC카드
1462,25736466,렌탈,일반계약,영업방판,2019-01-03,60,CMS,DES-1,96900, 사업자,60,서울특별시,서울특별시,계약확정,0,없음,여자,,국민은행
1463,25742250,렌탈,일반계약,영업방판,2019-01-03,60,CMS,DES-2,110700, 사업자,,서울특별시,서울특별시,계약확정,11,있음,여자,,신한은행
1464,66759941,렌탈,패키지계약,홈쇼핑/방송,2019-01-03,60,CMS,DES-1,81900, 개인,42,서울특별시,서울특별시,계약확정,0,없음,여자,7,신한은행
1465,66759941,렌탈,패키지계약,홈쇼핑/방송,2019-01-07,60,CMS,DES-2,81900, 개인,42,서울특별시,서울특별시,계약확정,0,없음,여자,7,신한은행
1466,66759951,렌탈,일반계약,홈쇼핑/방송,2019-03-26,60,카드이체,DES-1,96900, 개인,42,서울특별시,서울특별시,계약확정,0,없음,남자,5,외환카드
1467,66759355,렌탈,일반계약,홈쇼핑/방송,2019-04-18,60,카드이체,DES-1,96900, 개인,42,서울특별시,서울특별시,계약확정,0,없음,여자,1,롯데카드
