결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일
무통장입금,D-20180514-0000531-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,71930,39,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000531-01,2018-05-18 오전 11:07,2018-05-22 오전 5:32,101900,382,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000531-02,2018-05-15 오후 2:56,2018-05-19 오전 5:32,84300,380,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000531-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1159,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000543-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,74400,378,1,모바일웹,20180514
무통장입금,D-20180514-0000543-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1136,1,모바일웹,20180514
"적립금,무통장입금",D-20180514-0000554-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,147700,1077,2,PC쇼핑몰,20180514
"적립금,무통장입금",D-20180514-0000554-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1159,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000569-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,216000,1083,2,PC쇼핑몰,20180514
무통장입금,D-20180514-0000569-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,589,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000576-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,36670,635,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000576-01,2018-05-15 오후 2:56,2018-05-19 오전 5:32,33920,219,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000576-02,2018-05-15 오후 2:56,2018-05-19 오전 5:32,52950,392,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000576-00,2018-05-15 오후 2:56,2018-05-19 오전 5:32,0,1136,1,PC쇼핑몰,20180514
카드,D-20180514-0000582-01,2018-05-16 오전 8:26,2018-05-17 오후 4:56,73850,1077,1,네이버 페이,20180514
카드,D-20180514-0000582-02,2018-05-16 오전 8:26,2018-05-17 오후 4:56,77370,608,1,네이버 페이,20180514
"적립금,무통장입금",D-20180514-0000595-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,121080,446,2,PC쇼핑몰,20180514
"적립금,무통장입금",D-20180514-0000595-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,587,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000602-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,146500,1122,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000602-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,57900,250,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000602-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,589,1,PC쇼핑몰,20180514
카드,D-20180514-0000612-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,60100,388,1,PC쇼핑몰,20180514
카드,D-20180514-0000612-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,33920,219,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000627-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,73910,45,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000627-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1136,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000632-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,112900,70,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000632-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,109600,68,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000632-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,589,1,PC쇼핑몰,20180514
